iter	RMSE
0	711.7369298
1	708.531034
2	705.3639562
3	702.2935787
4	699.2765371
5	696.3004876
6	693.3587806
7	690.4935631
8	687.5963045
9	684.8034326
10	682.1164123
11	679.3259935
12	676.7060718
13	674.1511639
14	671.5771514
15	669.0076937
16	666.4356221
17	663.9210203
18	661.3884827
19	658.9266807
20	656.512
21	654.2571548
22	651.8748983
23	649.6510267
24	647.34779
25	645.0754425
26	642.8314871
27	640.579994
28	638.3975442
29	636.2228002
30	634.1526411
31	632.1394006
32	630.1943281
33	628.1917464
34	626.203719
35	624.2185734
36	622.2761524
37	620.3878531
38	618.5173321
39	616.7044083
40	614.9105462
41	613.1843298
42	611.4481803
43	609.6874634
44	607.9496545
45	606.2779609
46	604.6143645
47	603.0398075
48	601.4334399
49	599.8818431
50	598.3861795
51	596.8651952
52	595.3910595
53	593.9684561
54	592.5156264
55	591.0963159
56	589.7710562
57	588.3540145
58	587.005631
59	585.650617
60	584.3193334
61	583.0527491
62	581.7721408
63	580.496696
64	579.2085428
65	577.9516952
66	576.7635356
67	575.5897434
68	574.3652799
69	573.1742943
70	572.0218979
71	570.9607342
72	569.9278677
73	568.8336379
74	567.7573169
75	566.6997751
76	565.6329684
77	564.6695174
78	563.6371016
79	562.7597186
80	561.7901179
81	560.8168457
82	559.879353
83	558.9413367
84	558.0371436
85	557.2079398
86	556.321483
87	555.4383469
88	554.627556
89	553.8091051
90	552.9782018
91	552.1765379
92	551.3583398
93	550.5784727
94	549.7965339
95	549.0253621
96	548.2404319
97	547.4541529
98	546.7167107
99	546.0120118
100	545.2917347
101	544.5731956
102	543.910935
103	543.238182
104	542.614314
105	541.9491602
106	541.3382488
107	540.7002899
108	540.0843831
109	539.4838765
110	538.8806296
111	538.285282
112	537.6851443
113	537.0930555
114	536.4912647
115	535.9295059
116	535.33243
117	534.7861686
118	534.2195149
119	533.6549427
120	533.1243729
121	532.5825786
122	532.1100525
123	531.5712876
124	531.0464669
125	530.5509508
126	530.0632218
127	529.5911785
128	529.0957954
129	528.6217127
130	528.1941914
131	527.7219626
132	527.2723706
133	526.7943992
134	526.3654096
135	525.9327885
136	525.5217069
137	525.085628
138	524.696057
139	524.32924
140	523.9350701
141	523.5613285
142	523.2084888
143	522.8273266
144	522.4389938
145	522.0598637
146	521.6774825
147	521.3264575
148	520.9614896
149	520.6141527
150	520.3071702
151	519.9536423
152	519.614154
153	519.2795712
154	518.9445924
155	518.622814
156	518.296382
157	517.9773795
158	517.7160083
159	517.4299905
160	517.1332766
161	516.8572854
162	516.5814761
163	516.2682067
164	515.9972229
165	515.7378739
166	515.4662463
167	515.1956466
168	514.9246987
169	514.6757351
170	514.406337
171	514.1329547
172	513.8838026
173	513.6417694
174	513.385876
175	513.1381043
176	512.9081656
177	512.6711427
178	512.4266328
179	512.1926103
180	511.980406
181	511.7625642
182	511.5402433
183	511.3503844
184	511.1288024
185	510.9099642
186	510.7325271
187	510.5359685
188	510.3351381
189	510.1302591
190	509.9213756
191	509.7095119
192	509.5270275
193	509.3710878
194	509.1662596
195	508.9902922
196	508.8069557
197	508.6442129
198	508.4730097
199	508.308901
200	508.1343871
201	507.9582446
202	507.7985633
203	507.6194227
204	507.4546478
205	507.2777447
206	507.1346175
207	506.9790679
208	506.8257608
209	506.6536435
210	506.5107404
211	506.3553453
212	506.2139883
213	506.0871645
214	505.9544236
215	505.8205269
216	505.686063
217	505.5441481
218	505.4135054
219	505.2924451
220	505.1708166
221	505.0271484
222	504.8956595
223	504.7800752
224	504.6526487
225	504.5236677
226	504.3944571
227	504.2722641
228	504.1449563
229	504.021921
230	503.9125372
231	503.802537
232	503.6858396
233	503.5629695
234	503.4580445
235	503.3465683
236	503.236947
237	503.1417729
238	503.0486076
239	502.9551616
240	502.8444688
241	502.7502573
242	502.6578082
243	502.5765881
244	502.4587878
245	502.3636005
246	502.2760842
247	502.1860578
248	502.0912762
249	501.9962014
250	501.9044894
251	501.8231218
252	501.7220126
253	501.643844
254	501.5610465
255	501.4735789
256	501.3864021
257	501.2936294
258	501.2092719
259	501.1299023
260	501.0620151
261	500.9720032
262	500.8920304
263	500.8209056
264	500.7516477
265	500.6605141
266	500.5804385
267	500.5073974
268	500.4384492
269	500.3671363
270	500.2961287
271	500.2472296
272	500.1787118
273	500.1141391
274	500.0540637
275	499.9759432
276	499.9094802
277	499.8552905
278	499.7856189
279	499.7239313
280	499.6549144
281	499.5921691
282	499.5270607
283	499.4725102
284	499.4056868
285	499.3461368
286	499.289954
287	499.2365536
288	499.1724586
289	499.1230086
290	499.0638745
291	499.0174179
292	498.9593917
293	498.9140265
294	498.8553718
295	498.8039216
296	498.7567294
297	498.7034378
298	498.6459456
299	498.6027421
300	498.5521904
301	498.4929116
302	498.4436968
303	498.4025973
304	498.3478052
305	498.2982582
306	498.2450756
307	498.2005712
308	498.1461836
309	498.1061048
310	498.0558465
311	498.015778
312	497.9587139
313	497.9122758
314	497.8608157
315	497.8211916
316	497.7812398
317	497.7366789
318	497.6947088
319	497.6541976
320	497.6008115
321	497.5621867
322	497.526752
323	497.4858467
324	497.441093
325	497.3918208
326	497.3401042
327	497.3059868
328	497.2657946
329	497.2158096
330	497.1809894
331	497.1337031
332	497.0994725
333	497.0600021
334	497.0261885
335	496.9836979
336	496.9425855
337	496.9065302
338	496.8635512
339	496.8383433
340	496.8026397
341	496.7625649
342	496.7267274
343	496.6869311
344	496.6446008
345	496.6066872
346	496.5708806
347	496.5227917
348	496.4926667
349	496.4475043
350	496.4146584
351	496.3797818
352	496.3455555
353	496.3152669
354	496.2858855
355	496.252128
356	496.2080173
357	496.1687974
358	496.144825
359	496.1110597
360	496.0799113
361	496.0504616
362	496.0215666
363	495.9879843
364	495.9546984
365	495.9148591
366	495.878092
367	495.8478823
368	495.8023463
369	495.7714057
370	495.7381203
371	495.712714
372	495.6785608
373	495.6290184
374	495.6071621
375	495.5836828
376	495.5494404
377	495.5247746
378	495.488214
379	495.4620349
380	495.4254337
381	495.3980271
382	495.3649027
383	495.3310826
384	495.2875185
385	495.2485914
386	495.2121036
387	495.1844101
388	495.1564334
389	495.1221147
390	495.0953525
391	495.0694324
392	495.0377582
393	495.0210968
394	494.9892469
395	494.9624653
396	494.9303386
397	494.9047688
398	494.8777464
399	494.8484815
400	494.8208978
401	494.7860831
402	494.7615001
403	494.7348588
404	494.7104695
405	494.6785476
406	494.6512333
407	494.6210941
408	494.5875173
409	494.5720857
410	494.549903
411	494.51978
412	494.477158
413	494.4414683
414	494.4122402
415	494.3814764
416	494.3589417
417	494.3292691
418	494.3032197
419	494.2834717
420	494.2545089
421	494.2296365
422	494.2001703
423	494.1641991
424	494.1414414
425	494.1174434
426	494.0980166
427	494.0779092
428	494.0622863
429	494.037044
430	494.0179464
431	493.993855
432	493.9732372
433	493.971963
434	493.9484606
435	493.9164107
436	493.8935715
437	493.8695565
438	493.8551876
439	493.8315617
440	493.8100643
441	493.786976
442	493.7667845
443	493.7473244
444	493.7346971
445	493.7167199
446	493.7031846
447	493.6883692
448	493.6681109
449	493.6449814
450	493.6267656
451	493.6010861
452	493.599832
453	493.5779757
454	493.5599199
455	493.5410969
456	493.5264928
457	493.512914
458	493.485385
459	493.4577379
460	493.4430499
461	493.4292407
462	493.4074648
463	493.3814654
464	493.3686358
465	493.353235
466	493.3412606
467	493.3255948
468	493.3116069
469	493.2885102
470	493.2733698
471	493.2546689
472	493.2403135
473	493.2233015
474	493.2075101
475	493.1927949
476	493.1774657
477	493.1592181
478	493.1388375
479	493.137623
480	493.1173603
481	493.0997941
482	493.0810575
483	493.0798517
484	493.0785749
485	493.0461423
486	493.0298898
487	493.012539
488	492.995039
489	492.9757567
490	492.957525
491	492.933597
492	492.9324033
493	492.9312155
494	492.9177046
495	492.9006451
496	492.8983817
497	492.8822083
498	492.8608206
499	492.8475562
500	492.8369486
501	492.8128822
502	492.8117074
503	492.7985306
504	492.7869838
505	492.7624576
506	492.7542289
507	492.7351097
508	492.7226468
509	492.7087263
510	492.6925257
511	492.6736533
512	492.6580558
513	492.6451214
514	492.6308481
515	492.6244041
516	492.6081883
517	492.6039776
518	492.5938074
519	492.5810052
520	492.579881
521	492.5536559
522	492.5327138
523	492.5146511
524	492.4928629
525	492.4849492
526	492.4765925
527	492.4603839
528	492.4502819
529	492.4354948
530	492.4343851
531	492.4257711
532	492.4117449
533	492.3984241
534	492.3970218
535	492.3770061
536	492.3637255
537	492.3435991
538	492.3261851
539	492.3250343
540	492.3130313
541	492.2949575
542	492.2769372
543	492.2672463
544	492.2661651
545	492.2650894
546	492.2466738
547	492.2306817
548	492.2166716
549	492.2009475
550	492.1870403
551	492.1755796
552	492.1550332
553	492.1451202
554	492.1424417
555	492.1233959
556	492.1222096
557	492.1022624
558	492.0827946
559	492.0778297
560	492.0630597
