iter	Passed	Remaining
0	111	111221
1	179	89712
2	246	81967
3	318	79370
4	389	77520
5	449	74486
6	523	74222
7	593	73615
8	660	72703
9	722	71529
10	778	69977
11	845	69595
12	916	69589
13	984	69337
14	1053	69191
15	1117	68713
16	1185	68530
17	1248	68087
18	1317	68034
19	1383	67783
20	1452	67725
21	1530	68055
22	1603	68131
23	1676	68162
24	1748	68192
25	1817	68100
26	1888	68055
27	1955	67891
28	2088	69915
29	2157	69763
30	2223	69495
31	2290	69290
32	2361	69205
33	2431	69080
34	2502	68995
35	2571	68852
36	2654	69095
37	2726	69031
38	2786	68661
39	2848	68360
40	2911	68107
41	2968	67701
42	3033	67514
43	3101	67395
44	3166	67209
45	3230	66999
46	3291	66741
47	3357	66581
48	3416	66313
49	3465	65835
50	3531	65721
51	3598	65594
52	3664	65484
53	3731	65365
54	3802	65338
55	3855	64994
56	3918	64834
57	3986	64738
58	4054	64657
59	4121	64567
60	4184	64416
61	4252	64332
62	4326	64355
63	4397	64310
64	4459	64141
65	4518	63949
66	4582	63813
67	4652	63762
68	4720	63687
69	4783	63556
70	4840	63335
71	4896	63110
72	4965	63055
73	5035	63005
74	5095	62843
75	5155	62679
76	5206	62413
77	5273	62340
78	5339	62250
79	5403	62138
80	5470	62063
81	5538	62000
82	5594	61812
83	5660	61727
84	5715	61520
85	5777	61400
86	5842	61311
87	5899	61143
88	5963	61045
89	6026	60931
90	6089	60831
91	6158	60778
92	6217	60638
93	6278	60513
94	6344	60439
95	6408	60344
96	6471	60247
97	6539	60186
98	6611	60169
99	6675	60081
100	6739	59990
101	6803	59900
102	6863	59772
103	6918	59609
104	6988	59567
105	7066	59598
106	7173	59865
107	7233	59742
108	7295	59631
109	7360	59555
110	7435	59553
111	7497	59441
112	7562	59359
113	7628	59286
114	7689	59177
115	7749	59057
116	7818	59004
117	7884	58931
118	7932	58724
119	7996	58637
120	8069	58617
121	8121	58445
122	8178	58316
123	8247	58264
124	8317	58225
125	8383	58149
126	8452	58103
127	8510	57979
128	8569	57857
129	8637	57805
130	8702	57731
131	8760	57604
132	8829	57555
133	8893	57476
134	8957	57393
135	9020	57309
136	9094	57286
137	9167	57263
138	9219	57108
139	9282	57019
140	9348	56954
141	9418	56910
142	9483	56835
143	9553	56787
144	9625	56758
145	9689	56678
146	9758	56625
147	9833	56608
148	9881	56438
149	9950	56384
150	10022	56349
151	10098	56341
152	10173	56320
153	10245	56282
154	10326	56294
155	10398	56259
156	10472	56229
157	10557	56262
158	10633	56245
159	10714	56249
160	10794	56251
161	10855	56155
162	10923	56089
163	10991	56029
164	11053	55938
165	11116	55852
166	11184	55791
167	11250	55715
168	11319	55658
169	11382	55575
170	11453	55527
171	11525	55481
172	11591	55412
173	11662	55365
174	11727	55284
175	11789	55197
176	11857	55132
177	11929	55091
178	12002	55051
179	12081	55036
180	12171	55073
181	12237	54999
182	12305	54938
183	12371	54863
184	12442	54814
185	12526	54818
186	12592	54745
187	12658	54674
188	12715	54560
189	12780	54486
190	12848	54419
191	12910	54330
192	12970	54233
193	13041	54181
194	13110	54122
195	13173	54036
196	13239	53965
197	13309	53910
198	13381	53860
199	13460	53840
200	13533	53797
201	13606	53750
202	13674	53688
203	13736	53600
204	13800	53517
205	13866	53446
206	13932	53373
207	13997	53298
208	14067	53242
209	14134	53174
210	14203	53112
211	14273	53055
212	14353	53033
213	14419	52961
214	14488	52899
215	14559	52846
216	14624	52769
217	14698	52726
218	14772	52680
219	14838	52607
220	14902	52530
221	14970	52463
222	15047	52428
223	15117	52371
224	15182	52295
225	15246	52215
226	15302	52110
227	15366	52031
228	15437	51973
229	15504	51904
230	15569	51829
231	15638	51770
232	15692	51657
233	15753	51568
234	15821	51505
235	15890	51442
236	15965	51398
237	16034	51338
238	16113	51307
239	16176	51226
240	16244	51159
241	16315	51103
242	16379	51024
243	16444	50952
244	16523	50920
245	16591	50854
246	16661	50793
247	16724	50712
248	16794	50652
249	16870	50611
250	16932	50528
251	17001	50464
252	17083	50439
253	17148	50366
254	17263	50435
255	17330	50367
256	17406	50321
257	17473	50253
258	17547	50203
259	17623	50158
260	17693	50097
261	17761	50030
262	17822	49942
263	17886	49866
264	17954	49799
265	18021	49728
266	18082	49640
267	18152	49581
268	18222	49518
269	18291	49454
270	18371	49420
271	18445	49370
272	18516	49308
273	18579	49228
274	18647	49162
275	18719	49104
276	18801	49073
277	18866	48998
278	18930	48921
279	18989	48830
280	19061	48772
281	19135	48719
282	19249	48769
283	19321	48711
284	19401	48673
285	19472	48613
286	19542	48548
287	19621	48507
288	19691	48444
289	19771	48405
290	19869	48410
291	19951	48376
292	20048	48376
293	20140	48363
294	20227	48339
295	20315	48317
296	20398	48282
297	20474	48230
298	20556	48195
299	20647	48176
300	20726	48131
301	20816	48112
302	20880	48032
303	20949	47963
304	21019	47896
305	21088	47827
306	21158	47761
307	21229	47697
308	21293	47617
309	21362	47548
310	21434	47485
311	21504	47421
312	21574	47353
313	21651	47303
314	21700	47189
315	21769	47122
316	21836	47048
317	21896	46959
318	21973	46908
319	22041	46838
320	22104	46757
321	22163	46667
322	22269	46676
323	22367	46667
324	22420	46566
325	22485	46488
326	22558	46428
327	22634	46374
328	22705	46307
329	22765	46221
330	22832	46147
331	22893	46061
332	22964	45997
333	23032	45927
334	23104	45864
335	23169	45786
336	23242	45725
337	23307	45649
338	23379	45586
339	23456	45532
340	23534	45481
341	23605	45416
342	23678	45354
343	23749	45289
344	23830	45243
345	23907	45189
346	23985	45136
347	24052	45064
348	24127	45006
349	24196	44936
350	24263	44863
351	24336	44800
352	24397	44717
353	24465	44645
354	24546	44597
355	24616	44531
356	24678	44449
357	24763	44407
358	24822	44321
359	24887	44244
360	24969	44198
361	25031	44115
362	25096	44039
363	25171	43980
364	25238	43908
365	25312	43846
366	25388	43789
367	25453	43713
368	25514	43629
369	25597	43584
370	25671	43524
371	25742	43457
372	25816	43396
373	25867	43297
374	25931	43219
375	25994	43140
376	26064	43072
377	26142	43017
378	26216	42956
379	26291	42897
380	26367	42839
381	26432	42762
382	26506	42700
383	26577	42634
384	26658	42584
385	26719	42501
386	26798	42447
387	26879	42396
388	26964	42353
389	27028	42275
390	27095	42203
391	27183	42161
392	27261	42105
393	27406	42153
394	27487	42100
395	27572	42054
396	27663	42018
397	27746	41968
398	27815	41898
399	27889	41834
400	27966	41774
401	28032	41700
402	28098	41625
403	28165	41551
404	28224	41465
405	28292	41393
406	28367	41332
407	28443	41271
408	28517	41206
409	28593	41147
410	28667	41082
411	28738	41015
412	28813	40952
413	28890	40892
414	28958	40821
415	29020	40740
416	29093	40675
417	29167	40610
418	29238	40543
419	29306	40470
420	29368	40391
421	29444	40328
422	29513	40258
423	29592	40200
424	29655	40122
425	29735	40066
426	29807	39999
427	29876	39928
428	29946	39859
429	30021	39795
430	30088	39722
431	30159	39653
432	30228	39583
433	30253	39454
434	30313	39372
435	30397	39322
436	30468	39253
437	30549	39198
438	30620	39130
439	30690	39060
440	30759	38990
441	30837	38930
442	30902	38854
443	30972	38784
444	31045	38719
445	31114	38649
446	31181	38575
447	31248	38502
448	31313	38427
449	31391	38367
450	31465	38302
451	31537	38236
452	31561	38110
453	31628	38037
454	31699	37970
455	31766	37897
456	31847	37840
457	31923	37778
458	31994	37710
459	32063	37639
460	32140	37578
461	32215	37514
462	32281	37441
463	32362	37384
464	32489	37380
465	32565	37317
466	32631	37242
467	32697	37169
468	32772	37105
469	32842	37035
470	32910	36963
471	32982	36895
472	33051	36824
473	33121	36754
474	33196	36691
475	33277	36632
476	33347	36563
477	33415	36491
478	33480	36416
479	33496	36288
480	33565	36216
481	33641	36153
482	33710	36083
483	33735	35965
484	33767	35856
485	33852	35802
486	33921	35733
487	33990	35661
488	34065	35597
489	34144	35538
490	34218	35472
491	34298	35414
492	34326	35301
493	34347	35181
494	34419	35114
495	34490	35046
496	34538	34955
497	34612	34890
498	34689	34828
499	34766	34766
500	34832	34693
501	34905	34627
502	34930	34513
503	35001	34445
504	35072	34378
505	35142	34309
506	35223	34250
507	35291	34179
508	35354	34104
509	35433	34043
510	35498	33970
511	35566	33898
512	35638	33832
513	35714	33769
514	35778	33694
515	35841	33618
516	35903	33542
517	35936	33439
518	36005	33368
519	36072	33297
520	36095	33185
521	36164	33116
522	36238	33050
523	36303	32977
524	36369	32905
525	36443	32840
526	36516	32775
527	36602	32720
528	36674	32653
529	36750	32589
530	36778	32484
531	36850	32416
532	36930	32357
533	36997	32286
534	37032	32187
535	37097	32113
536	37165	32044
537	37239	31979
538	37305	31906
539	37344	31812
540	37416	31745
541	37519	31704
542	37580	31628
543	37657	31565
544	37683	31460
545	37704	31351
546	37770	31279
547	37833	31206
548	37906	31140
549	37974	31070
550	38044	31001
551	38108	30928
552	38174	30857
553	38250	30793
554	38316	30722
555	38385	30653
556	38422	30558
557	38490	30489
558	38560	30420
559	38629	30351
560	38703	30286
561	38770	30216
562	38852	30157
563	38920	30087
564	38989	30018
565	39062	29952
566	39133	29885
567	39210	29821
568	39280	29753
569	39339	29677
570	39404	29605
571	39483	29543
572	39557	29477
573	39636	29416
574	39703	29346
575	39733	29248
576	39778	29161
577	39855	29098
578	39933	29036
579	40012	28974
580	40087	28910
581	40155	28840
582	40239	28781
583	40312	28715
584	40386	28649
585	40461	28585
586	40528	28515
587	40607	28452
588	40686	28390
589	40770	28332
590	40849	28270
591	40929	28208
592	41012	28148
593	41101	28093
594	41140	28003
595	41167	27905
596	41253	27847
597	41332	27785
598	41428	27734
599	41512	27675
600	41592	27612
601	41668	27548
602	41697	27452
603	41773	27387
604	41847	27322
605	41914	27251
606	41994	27189
607	42074	27126
608	42153	27064
609	42236	27003
610	42313	26939
611	42402	26882
612	42523	26845
613	42636	26804
614	42729	26749
615	42804	26683
616	42877	26616
617	42949	26547
618	43020	26479
619	43094	26412
620	43160	26341
621	43208	26258
622	43274	26186
623	43362	26128
624	43437	26062
625	43513	25996
626	43576	25923
627	43649	25855
628	43723	25788
629	43760	25700
630	43828	25630
631	43903	25563
632	43929	25469
633	43994	25397
634	44062	25327
635	44135	25259
636	44207	25192
637	44283	25126
638	44353	25057
639	44425	24989
640	44500	24922
641	44570	24853
642	44642	24785
643	44669	24692
644	44694	24599
645	44764	24530
646	44825	24456
647	44899	24389
648	44964	24318
649	45042	24253
650	45116	24186
651	45183	24116
652	45247	24044
653	45327	23980
654	45390	23907
655	45438	23827
656	45507	23758
657	45578	23689
658	45619	23605
659	45688	23536
660	45760	23468
661	45824	23396
662	45851	23306
663	45915	23234
664	45986	23166
665	46058	23098
666	46122	23026
667	46200	22961
668	46272	22894
669	46308	22808
670	46376	22739
671	46447	22671
672	46507	22597
673	46572	22526
674	46642	22457
675	46715	22390
676	46781	22319
677	46804	22228
678	46872	22159
679	46947	22092
680	46972	22003
681	47046	21936
682	47118	21868
683	47195	21803
684	47278	21741
685	47356	21676
686	47434	21611
687	47514	21547
688	47627	21498
689	47651	21408
690	47721	21340
691	47799	21274
692	47877	21209
693	47958	21145
694	48037	21081
695	48124	21019
696	48209	20957
697	48295	20895
698	48372	20829
699	48449	20763
700	48535	20701
701	48629	20643
702	48659	20557
703	48742	20493
704	48823	20429
705	48913	20369
706	48954	20288
707	49023	20218
708	49096	20151
709	49170	20083
710	49245	20016
711	49327	19952
712	49374	19874
713	49444	19805
714	49484	19724
715	49554	19655
716	49627	19588
717	49693	19517
718	49741	19440
719	49768	19354
720	49826	19280
721	49897	19212
722	49980	19148
723	50050	19079
724	50117	19010
725	50184	18940
726	50241	18866
727	50310	18797
728	50376	18727
729	50455	18661
730	50529	18594
731	50565	18513
732	50586	18426
733	50658	18358
734	50724	18288
735	50797	18220
736	50821	18135
737	50881	18063
738	50950	17994
739	51024	17927
740	51061	17847
741	51132	17779
742	51203	17711
743	51282	17645
744	51356	17578
745	51432	17511
746	51497	17441
747	51575	17375
748	51635	17303
749	51697	17232
750	51773	17165
751	51844	17097
752	51912	17028
753	51978	16958
754	52046	16889
755	52113	16819
756	52186	16752
757	52252	16682
758	52325	16614
759	52392	16545
760	52463	16476
761	52540	16410
762	52616	16343
763	52738	16290
764	52810	16222
765	52880	16154
766	52946	16084
767	53017	16015
768	53089	15947
769	53158	15878
770	53223	15808
771	53305	15743
772	53377	15674
773	53449	15606
774	53484	15527
775	53551	15458
776	53620	15389
777	53682	15318
778	53757	15250
779	53826	15181
780	53897	15113
781	53965	15044
782	54033	14974
783	54057	14893
784	54123	14823
785	54196	14755
786	54264	14686
787	54338	14618
788	54401	14548
789	54482	14482
790	54548	14412
791	54627	14346
792	54711	14281
793	54785	14213
794	54852	14144
795	54917	14074
796	54984	14004
797	55058	13937
