year,category,month,bidding,price,quota,bids
2023,a,july,2,95202,581,728
2023,a,july,1,97000,588,756
2023,a,june,2,96206,586,751
2023,a,june,1,98001,581,881
2023,a,may,2,92000,596,936
2023,a,may,1,101001,474,663
2023,a,april,2,103721,507,750
2023,a,april,1,96501,515,749
2023,a,march,2,93503,510,768
2023,a,march,1,88000,517,665
2023,a,february,2,86556,508,702
2023,a,february,1,86000,509,663
2023,a,january,2,86000,459,627
2023,a,january,1,80000,462,649
2023,b,july,2,118001,462,602
2023,b,july,1,118002,471,594
2023,b,june,2,121000,454,622
2023,b,june,1,120702,454,719
2023,b,may,2,113034,480,713
2023,b,may,1,119399,410,513
2023,b,april,2,120889,430,553
2023,b,april,1,118501,430,566
2023,b,march,2,116201,466,670
2023,b,march,1,115501,431,629
2023,b,february,2,115001,436,768
2023,b,february,1,105524,430,580
2023,b,january,2,105459,408,514
2023,b,january,1,102002,410,487
2023,c,july,2,82001,69,133
2023,c,july,1,82223,77,147
2023,c,june,2,83140,71,178
2023,c,june,1,81801,68,151
2023,c,may,2,77501,72,148
2023,c,may,1,75589,68,109
2023,c,april,2,75334,51,116
2023,c,april,1,76801,47,103
2023,c,march,2,85389,50,107
2023,c,march,1,91101,43,65
2023,c,february,2,87790,47,136
2023,c,february,1,85119,44,108
2023,c,january,2,77109,78,182
2023,c,january,1,77301,70,183
2023,e,july,2,122110,129,243
2023,e,july,1,121000,130,217
2023,e,june,2,123000,145,312
2023,e,june,1,120889,124,280
2023,e,may,2,125000,125,301
2023,e,may,1,124002,125,271
2023,e,april,2,124501,137,252
2023,e,april,1,118990,134,252
2023,e,march,2,116020,132,265
2023,e,march,1,116000,132,254
2023,e,february,2,118001,132,274
2023,e,february,1,105002,129,229
2023,e,january,2,107000,149,248
2023,e,january,1,107889,146,285
2022,a,december,2,88007,473,618
2022,a,december,1,88503,458,616
2022,a,november,2,90589,459,622
2022,a,november,1,87235,460,687
2022,a,october,2,81089,559,714
2022,a,october,1,80501,564,724
2022,a,september,2,84000,543,759
2022,a,september,1,86000,556,723
2022,a,august,2,87889,551,835
2022,a,august,1,80000,554,689
2022,a,july,2,78899,628,834
2022,a,july,1,78001,617,900
2022,a,june,2,74989,614,850
2022,a,june,1,73801,612,874
2022,a,may,2,68001,625,819
2022,a,may,1,70901,612,804
2022,a,april,2,68699,532,744
2022,a,april,1,72996,536,723
2022,a,march,2,71556,543,849
2022,a,march,1,68501,531,962
2022,a,february,2,63000,536,876
2022,a,february,1,60761,542,819
2022,a,january,2,57898,531,711
2022,a,january,1,57599,543,760
2022,b,december,2,108006,409,564
2022,b,december,1,105501,427,568
2022,b,november,2,113881,416,568
2022,b,november,1,115388,411,640
2022,b,october,2,110000,470,848
2022,b,october,1,95856,474,635
2022,b,september,2,108051,471,553
2022,b,september,1,113000,470,627
2022,b,august,2,112001,471,665
2022,b,august,1,107001,474,612
2022,b,july,2,110003,527,702
2022,b,july,1,107800,527,695
2022,b,june,2,106001,531,822
2022,b,june,1,100684,528,851
2022,b,may,2,95889,528,709
2022,b,may,1,92090,527,699
