code,name,opening_year,latitude,longitude
,Brickland,2030,1.3697,103.7479
,Sungei Kadut,2030,1.4133,103.7488
,Punggol Coast,2024,1.41528,103.91111
,Bukit Brown,TBA,1.333639,103.830075
,Keppel,2026,1.2701,103.831
,Cantonment,2026,1.272814,103.836659
,Prince Edward Road,2026,1.273254,103.847298
,Sungei Kadut,2030,1.4133,103.7488
,Hume,2025,1.35465,103.76904
,Xilin,2025,1.3289,103.9649
,Sungei Bedok,2025,1.32031,103.95709
,Mount Pleasant,TBA,1.3287,103.8356
,Marina South,TBA,1.2739,103.863
,Founders,2027,1.2912,103.869229
,Tanjong Rhu,2024,1.29726,103.87345
,Katong Park,2024,1.297825,103.885331
,Tanjong Katong,2024,1.2992,103.89769
,Marine Parade,2024,1.3026301,103.9049619
,Marine Terrace,2024,1.305985,103.913332
,Siglap,2024,1.30977,103.928967
,Bayshore,2024,1.314712,103.943717
,Bedok South,2025,1.3240389,103.9300361
,Sungei Bedok,2025,1.32031,103.95709
,Changi Airport Terminal 5,2040,1.3573722,103.9888361
,Changi Airport,2040,1.3573722,103.9888361
,Expo,2040,1.33528,103.96194
,Tanah Merah,2040,1.3273583,103.9463444
,Choa Chu Kang,2027,1.385092,103.744322
,Choa Chu Kang West,2027,1.385092,103.744322
,Tengah,2027,1.36633,103.73007
,Hong Kah,2027,1.35795,103.72586
,Corporation,2027,1.352948,103.71393
,Jurong West,2027,1.34919,103.70831
,Bahar Junction,2027,1.3454222,103.7025417
,Boon Lay,2027,1.3388833,103.7062083
,Gek Poh,2027,1.348382,103.697963
,Tawas,2027,1.35056,103.69185
,Tengah Plantation,2028,1.35731,103.73342
,Tengah Park,2028,1.35235,103.73679
,Bukit Batok West,2028,1.3590306,103.7636806
,Toh Guan,2028,1.33984,103.7425
,Jurong East,2028,1.333415,103.742119
,Jurong Town Hall,2028,1.326,103.746
,Pandan Reservoir,2028,1.32,103.745
,Enterprise,2029,1.332678,103.708504
,Tukang,2029,1.32533,103.70924
,Jurong Hill,2029,1.31866,103.7102
,Jurong Pier,2029,1.31315,103.71034
,Nanyang Gateway,2029,1.35369,103.68661
,Nanyang Crescent,2029,1.34836,103.68085
,Peng Kang Hill,2029,1.34326,103.67849
,Haw Par Villa,TBA,1.28278,103.78167
,Changi Airport Terminal 5,TBA,1.3573722,103.9888361
,Aviation Park,2030,1.36989,104.00314
,Loyang,2030,1.372,103.972
,Pasir Ris East,2030,1.366,103.961
,Pasir Ris,2030,1.3724111,103.9493694
,Tampines North,2030,1.36919,103.93786
,Defu,2030,1.362243,103.898874
,Hougang,2030,1.371292,103.892161
,Serangoon North,2030,1.37067,103.8736
,Tavistock,2030,1.37004,103.86328
,Ang Mo Kio,2030,1.37,103.84556
,Teck Ghee,2030,1.36564,103.84362
,Bright Hill,2030,1.36384,103.834748
,Turf City,2032,1.340775,103.794332
,King Albert Park,2032,1.33583,103.78361
,Maju,2032,1.328462,103.776993
,Clementi,2032,1.3153028,103.7652444
,West Coast,2032,1.31079,103.757828
,Jurong Lake District,2032,1.327245,103.73908
,Elias,2032,1.384,103.938
,Riviera,2032,1.3944389,103.9167722
,Punggol,2032,1.40528,103.9025
