feature,importance_xgb,importance_lgbm,importance_total
longitude,0.011365054,0.16352201257861634,0.17488706675387403
latitude,0.009527692,0.11949685534591195,0.12902454698587176
lease_commence_date_std,0.026310265,0.11320754716981132,0.13951781223405083
floor_area_sqm,0.028894663,0.10062893081761007,0.12952359367466573
flat_type_std,0.5013734,0.08176100628930817,0.5831344165142227
subzone_std,0.007888681,0.050314465408805034,0.058203146664086006
date_std,0.005690989,0.050314465408805034,0.05600545449334683
street_name_std,0.008468867,0.0440251572327044,0.052494024512293576
K=16 KNN_std,0.007110661,0.0440251572327044,0.05113581812840962
town_std,0.21133557,0.03773584905660377,0.2490714186767362
coe_price,0.019360334,0.03773584905660377,0.05709618273771034
flat_model_std,0.009393257,0.03773584905660377,0.04712910614556299
K=64 KNN_std,0.0062700305,0.031446540880503145,0.037716571393908944
planning_area_std,0.019542776,0.025157232704402517,0.04470000875258596
cluster_std,0.06477141,0.018867924528301886,0.08363933088082187
block_std,0.0040276395,0.018867924528301886,0.022895564043999842
K=128 KNN_std,0.0042784973,0.012578616352201259,0.01685711365696863
flat_type2_std,0.029796004,0.006289308176100629,0.03608531247144975
K=32 KNN_std,0.006313284,0.006289308176100629,0.012602592103839296
region_std,0.018281015,0.0,0.018281014636158943
