feature,importance_xgb,importance_lgbm,importance_total
coe_price,0.009929729,0.09663046505151768,0.1065601937457778
K=16 KNN_std,0.0063656955,0.08493455861876914,0.09130025412137815
longitude,0.008539499,0.08409913673071567,0.09263863551436369
date_std,0.012685435,0.0832637148426622,0.09594914973543583
latitude,0.029369878,0.07992202729044834,0.10929190494178215
floor_area_sqm,0.0453173,0.0782511835143414,0.12356848317836194
K=32 KNN_std,0.004216206,0.07797270955165692,0.08218891534602113
K=64 KNN_std,0.004012162,0.07658033973823447,0.08059250160406489
K=128 KNN_std,0.0040418124,0.06126427179058758,0.06530608417322603
street_name_std,0.00704605,0.05430242272347535,0.06134847264990534
lease_commence_date_std,0.023102552,0.053188526872737396,0.07629107857142209
subzone_std,0.0071000825,0.0403787245892509,0.047478807057492356
flat_type_std,0.32537326,0.028404344193817876,0.3537776063607948
flat_model_std,0.009406986,0.02450570871623503,0.033912694431266655
block_std,0.003029777,0.018657755499860762,0.02168753246978533
town_std,0.11016019,0.018379281537176273,0.1285394684239637
flat_type2_std,0.3015365,0.015037593984962405,0.3165740944389114
cluster_std,0.047988854,0.009746588693957114,0.05773544304261663
planning_area_std,0.0147585925,0.00807574491785018,0.02283433738933055
region_std,0.026019355,0.006404901141743247,0.03242425642393071
