feature,importance_xgb,importance_lgbm,importance_total
K=16 KNN_mean,0.08003154,0.12980769230769232,0.20983922882721975
K=16 KNN_std,0.0046263086,0.09299879807692307,0.09762510664474505
date_mean,0.111912884,0.08052884615384616,0.1924417299719957
coe_price,0.12312263,0.078125,0.20124763250350952
floor_area_sqm,0.006600066,0.0653545673076923,0.07195463339583232
flat_type_mean,0.044339024,0.05228365384615385,0.0966226773766371
lease_commence_date_std,0.0077023096,0.049729567307692304,0.0574318769459541
latitude,0.009563854,0.03440504807692308,0.043968902041132636
flat_type_std,0.17106184,0.032602163461538464,0.2036640070951902
longitude,0.0027351023,0.028996394230769232,0.03173149654713388
lease_commence_date_mean,0.0037305767,0.028545673076923076,0.03227624979514915
K=32 KNN_mean,0.029868446,0.02794471153846154,0.05781315782895455
K=32 KNN_std,0.0031499555,0.025841346153846152,0.028991301687291034
K=64 KNN_std,0.0026313262,0.019681490384615384,0.022312816590643846
flat_model_mean,0.004726753,0.018028846153846152,0.022755599258324273
street_name_std,0.0020037508,0.017728365384615384,0.019732116148448907
date_std,0.046644554,0.01697716346153846,0.06362171700367561
block_std,0.003929439,0.016526442307692308,0.02045588130847766
K=128 KNN_std,0.0019314211,0.015925480769230768,0.017856901878705964
lease_commence_date_median,0.0044095446,0.014873798076923076,0.019283342712487165
K=128 KNN_mean,0.010896343,0.014122596153846154,0.02501893896036423
K=64 KNN_mean,0.0151715,0.01397235576923077,0.029143855692102358
cluster_std,0.016007582,0.012469951923076924,0.028477533648793515
town_std,0.01559209,0.01171875,0.027310839854180813
street_name_mean,0.007094253,0.010366586538461538,0.017460839393047184
subzone_std,0.0022437407,0.009314903846153846,0.011558644563102951
subzone_mean,0.0022154516,0.009314903846153846,0.011530355407068362
flat_model_std,0.0026657358,0.008864182692307692,0.011529918473500472
street_name_median,0.0068399585,0.008413461538461538,0.01525342002367744
cluster_mean,0.003644541,0.007962740384615384,0.011607281290567838
block_mean,0.0062226406,0.007061298076923077,0.013283938706780855
block_median,0.0055204676,0.006911057692307692,0.012431525338727694
subzone_median,0.0025419854,0.006760817307692308,0.009302802670460481
town_mean,0.0031846426,0.006009615384615385,0.009194258027351819
planning_area_std,0.01769249,0.005108173076923077,0.022800662626440708
flat_type2_std,0.027642991,0.0037560096153846155,0.031399001009189166
town_median,0.0024492876,0.003455528846153846,0.0059048164134415295
planning_area_mean,0.0071116528,0.0025540865384615385,0.009665739292708727
region_std,0.0042271707,0.0018028846153846155,0.006030055336081065
planning_area_median,0.0033389884,0.0013521634615384615,0.004691151866259484
cluster_median,0.0042025815,0.001201923076923077,0.005404504553343241
region_mean,0.0049225083,0.00045072115384615387,0.0053732294159439895
flat_type_median,0.06712952,0.00015024038461538462,0.06727976294664237
flat_type2_mean,0.011767761,0.0,0.01176776085048914
flat_type2_median,0.01036559,0.0,0.010365590453147888
region_median,0.0023810691,0.0,0.0023810691200196743
flat_model_median,0.005238919,0.0,0.005238919053226709
date_median,0.06696723,0.0,0.06696722656488419
