feature,importance_xgb,importance_lgbm,importance_total
K=16 KNN_mean,0.114289775,0.10652321411262965,0.22081298960339046
K=16 KNN_std,0.006464123,0.09915673160802559,0.10562085440259412
coe_price,0.0076845703,0.07318018803915867,0.08086475831068048
floor_area_sqm,0.01143304,0.06998158379373849,0.08141462358562053
date_mean,0.008335453,0.061064262867112536,0.06939971632524289
lease_commence_date_std,0.008837267,0.05214694194048657,0.060984208765626095
latitude,0.009248052,0.03789861393816032,0.04714666573054351
flat_type_mean,0.058679048,0.035960065910632937,0.09463911388259683
flat_type_std,0.10145066,0.033439953474847336,0.13489061280950693
longitude,0.0033207063,0.030629058834932634,0.033949765144683314
date_std,0.0072812717,0.023262576330328584,0.030543848071122766
lease_commence_date_mean,0.0065199854,0.02277793932344674,0.029297924708685863
K=24 KNN_std,0.005260372,0.020160899486284772,0.02542127155501775
K=32 KNN_mean,0.027235862,0.01928855287389745,0.0465244147415637
K=32 KNN_std,0.004027434,0.018997770669768342,0.023025204828838595
K=24 KNN_mean,0.13209923,0.018706988465639236,0.15080621458277332
flat_model_std,0.0038344807,0.017446932247746436,0.021281412900332062
street_name_std,0.0027518636,0.016671513036735485,0.01942337659830613
lease_commence_date_median,0.0056144744,0.01638073083260638,0.021995205248385493
flat_model_mean,0.0065826518,0.01628380343123001,0.022866455184208573
K=64 KNN_std,0.003740172,0.01608994862847727,0.019830120530358965
K=96 KNN_std,0.0027519327,0.015702239022971794,0.018454171735243604
block_std,0.0069955736,0.014829892410584472,0.021825466050454163
block_mean,0.009108456,0.014151400600949889,0.02325985645262397
K=80 KNN_std,0.0029307518,0.012018997770669768,0.01494974953954191
cluster_mean,0.005893708,0.011340505961035184,0.017234214167748382
flat_type_median,0.046495136,0.011243578559658815,0.057738714433214954
K=128 KNN_std,0.0023888142,0.011049723756906077,0.013438537988286897
street_name_median,0.005818274,0.01075894155277697,0.01657721542491404
cluster_std,0.017500298,0.009886594940389648,0.02738689303811933
subzone_std,0.0031333647,0.008820393525249588,0.011953758245519626
town_std,0.008428448,0.00756033730735679,0.015988785187207654
town_mean,0.004707074,0.007463409905980421,0.012170483698795628
K=64 KNN_mean,0.01690379,0.006300281089463991,0.023204070803442757
K=96 KNN_mean,0.012232456,0.006009498885334884,0.018241955241621886
K=128 KNN_mean,0.0042197276,0.005912571483958515,0.010132299074638636
subzone_mean,0.002442689,0.005718716681205777,0.008161405595221667
K=80 KNN_mean,0.011962644,0.005234079674323932,0.01719672349884166
street_name_mean,0.005701653,0.004943297470194824,0.010644950663877255
block_median,0.00904386,0.004070950857807502,0.013114811107028827
town_median,0.0030324552,0.003780168653678395,0.006812623874496914
subzone_median,0.0026759696,0.003780168653678395,0.0064561382729823365
region_std,0.008056179,0.002907822041291073,0.010964000730294063
planning_area_mean,0.0075581456,0.0028108946399147037,0.010369040200238896
planning_area_std,0.008998709,0.002617039837161966,0.011615748636643358
flat_type2_std,0.103685886,0.0023262576330328583,0.10601214330083376
region_mean,0.0056728455,0.0015508384220219056,0.007223683945826332
planning_area_median,0.0037624654,0.000969274013763691,0.0047317394497752435
cluster_median,0.004754539,0.0001938548027527382,0.004948393916244511
flat_model_median,0.006097095,0.0,0.006097095087170601
region_median,0.0062425365,0.0,0.006242536474019289
flat_type2_median,0.059088502,0.0,0.05908850207924843
flat_type2_mean,0.05807997,0.0,0.05807996913790703
date_median,0.008945556,0.0,0.008945556357502937
