feature,importance_xgb,importance_lgbm,importance_total
longitude,0.018101456,0.1304635761589404,0.14856503180271347
K=128 KNN_std,0.013266182,0.11071923610041583,0.12398541767368758
lease_commence_date_std,0.037730884,0.10434313876482365,0.14207402257176754
floor_area_sqm,0.086842805,0.07475743107962421,0.16160023622679523
K=32 KNN_std,0.012201441,0.06753426767287848,0.07973570912478564
street_name_std,0.014903863,0.06745726166640997,0.08236112462704659
subzone_std,0.019681675,0.05678422916987525,0.07646590452948199
date_std,0.013919204,0.05122439550284922,0.06514359904502212
town_std,0.038361385,0.043662405667642075,0.08202379113231034
flat_type2_std,0.2568182,0.036654859079008166,0.2934730641971875
K=64 KNN_std,0.010968036,0.033620822424149086,0.04458885844246106
latitude,0.031014264,0.03337440320344987,0.0643886668333632
K=16 KNN_std,0.012650537,0.028908054828276606,0.041558592132856814
coe_price,0.012729803,0.02796858154936085,0.040698384649589164
region_std,0.04967775,0.02696750346527029,0.07664525169835021
block_std,0.017632889,0.025997227783767132,0.04363011641379967
flat_model_std,0.049495716,0.020899430155552134,0.070395145803488
planning_area_std,0.047570996,0.02049899892191591,0.06806999490837755
cluster_std,0.052623812,0.019805944863699368,0.07242975697293132
flat_type_std,0.20380908,0.018358231942091484,0.22216731445017865
